id,name,headquarter,street,house_number,place_id,phone,fax,director_id,homepage_id,net_id
606,Muzarto,false,Driehoekstraat,41,1196,,,93,93,1
607,Muzarto,false,Heuvel,37,1196,,,93,93,1
608,Muzarto,false,Kerkeneind,21,1196,,,93,93,1
609,Gemeentelijke Academie voor   Muziek,false,Visstraat,49,525,,,94,94,1
610,Gemeentelijke Academie voor   Muziek,true,Stationsstraat,17,1332,52411121,,94,94,1
611,Gemeentelijke Academie voor   Muziek,false,Sint-Gillislaan,     ,2241,,,94,94,1
612,Akademie voor                 Muzische Kunsten,false,Brusselsesteenweg,1_B  ,1549,,,95,95,1
613,Akademie voor                 Muzische Kunsten,false,Papenmeuter,8,1549,,,95,95,1
614,Akademie voor                 Muzische Kunsten,true,Brusselsesteenweg,64,1549,28922390,,95,95,1
615,Akademie voor                 Muzische Kunsten,false,Sint-Amandsplein,1_B  ,2369,,,95,95,1
616,Akademie voor                 Muzische Kunsten,false,Stationsstraat,35,2754,,,95,95,1
617,Akademie voor                 Muzische Kunsten,false,Gemeenteplein,1_B  ,2754,,,95,95,1
618,Kunstenacademie Diksmuide     Clemens non Papa,true,Koning Albertstraat,24,549,51793430,,96,96,1
619,Kunstenacademie Diksmuide     Clemens non Papa,false,Mgr. Schottestraat,1,1113,,,96,96,1
620,Kunstenacademie Diksmuide     Clemens non Papa,false,Keiemdorpstraat,51,1209,,,96,96,1
621,Gemeentelijke Academie voor   Muziek-Woord-Dans,true,Oude Godstraat,8,994,15246794,15246794,97,97,1
622,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Pastoor Mellaertsstraat,     ,994,,,97,97,1
623,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Bergop,2,994,,,97,97,1
624,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Oude Godstraat,1,994,,,97,97,1
625,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Pluishoekstraat,1,994,,,97,97,1
626,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Dulft,17,1147,,,97,97,1
627,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Leuvensebaan,34,1991,,,97,97,1
628,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Leo Kempenaersstraat,21,2198,,,97,97,1
629,Gemeentelijke Academie voor   Muziek-Woord-Dans,false,Sint Jozefstraat,2,2722,,,97,97,1
630,Gemeentelijke Academie voor   muziek,false,Emiel Bricoutlaan,61,1264,,,98,98,1
631,Gemeentelijke Academie voor   muziek,false,Doorndal,3,2291,,,98,98,1
632,Gemeentelijke Academie voor   muziek,true,Henri Vandermaelenstraat,61,2291,27731855,,98,98,1
633,Gemeentelijke Academie voor   muziek,false,Vogelzanglaan,2,2291,,,98,98,1
634,Gemeentelijke Academie voor   muziek,false,Orbanlaan,54,2291,,,98,98,1
635,Gemeentelijke Academie voor   muziek,false,Charles Thielemanslaan,26,2291,,,98,98,1
636,Gemeentelijke Academie voor   muziek,false,Louis Marcelisstraat,134,2717,,,98,98,1
637,Academie voor                 Muziek en Woord - stad Menen,false,Beselarestraat,33,794,,,99,99,1
638,Academie voor                 Muziek en Woord - stad Menen,false,Hospitaalstraat,14,1325,,,99,99,1
639,Academie voor                 Muziek en Woord - stad Menen,true,Yv. Serruysstraat,42,1571,56513034,56515398,99,99,1
640,Academie voor                 Muziek en Woord - stad Menen,false,Ieperstraat,32,1571,,,99,99,1
641,Academie voor                 Muziek en Woord - stad Menen,false,Sint-Janstraat,18,1659,,,99,99,1
642,Academie voor                 Muziek en Woord - stad Menen,false,Moeskroenstraat,525,2030,,,99,99,1
643,Academie voor                 Muziek en Woord - stad Menen,false,Beselarestraat,29,2701,,,99,99,1
644,Academie voor                 Muziek en Woord - stad Menen,false,Hellestraat,15,2701,,,99,99,1
645,Academie voor                 Muziek en Woord - stad Menen,false,Grote Markt,26,2714,,,99,99,1
646,Academie voor                 Muziek en Woord - stad Menen,false,Goudenregenstraat,1,2714,,,99,99,1
647,Academie Deurne               Muziek-Woord,true,Boshovestraat,173,538,33247071,33247071,100,100,1
648,Academie Deurne               Muziek-Woord,false,Van den Hautelei,79,538,,,100,100,1
649,Kunstacademie De Poel,false,Groenewandeling,80,576,,,101,101,2
650,Kunstacademie De Poel,false,Goeiingen,12,684,,,101,101,2
651,Kunstacademie De Poel,false,Kroonstraat,2,684,,,101,101,2
652,Kunstacademie De Poel,false,Akkerken,2,684,,,101,101,2
653,Kunstacademie De Poel,false,Hofbilkstraat,21,684,,,101,101,2
654,Kunstacademie De Poel,false,Acaciastraat,11_29,802,,,101,101,2
655,Kunstacademie De Poel,true,Poel,17,802,92250479,92335403,101,101,2
656,Kunstacademie De Poel,false,Patrijsstraat,12,802,,,101,101,2
657,Kunstacademie De Poel,false,Grensstraat,202,802,,,101,101,2
658,Kunstacademie De Poel,false,Voskenslaan,60,802,,,101,101,2
